paper_id,paper_name,pattern_ids,pattern_names,human_factor_ids,human_factor_names
5271,3DInkGen: Extending Traditional Ink-Painting Artistry with Generative 3D Creation for Novices,pat-040 | pat-018 | pat-017 | pat-086,Sketch-Based Input | Addressable Segments | Staged Pipeline | Fixed Functional Panel Layout,F2 | F19 | F20 | F14,Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy | Accessibility
5281,ProVoice: Designing Proactive Functionality for In-Vehicle Conversational Assistants using Multi-Objective Bayesian Optimization to Enhance Driver Experience,pat-009 | pat-019 | pat-062,Proactive Support | Propose-Critique-Revise Iterative Refinement | Voice Interaction,F4 | F19 | F7,Oversight | Effort and Cognitive Load | Control and Agency
5284,InterFlow: Designing Unobtrusive AI to Empower Interviewers in Semi-Structured Interviews,pat-011 | pat-012 | pat-034 | pat-095 | pat-052 | pat-086,Live Activity Output Synchronization | Live Side Panel | Artifact Generation Property Controls | Manual Fallback Editing | Color Coded Content | Fixed Functional Panel Layout,F6 | F19 | F20 | F7,Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
5286,AI meets Mathematics Education: Supporting Instructors in Large Mathematics Classes with Context-Aware AI,pat-004 | pat-031 | pat-088,Side-by-Side Comparison | Pre-Send Inspection | AI Panels for Host Application,F9 | F4 | F5 | F22 | F20 | F7,Guidance and Feedback | Oversight | Appropriate Reliance | Risk of Harm and Accountability | Skill and Self-Efficacy | Control and Agency
5288,Sci-Fi Spark: A Human-AI Co-Creation System for Science Fiction Ideation,pat-032 | pat-035 | pat-039 | pat-033 | pat-018 | pat-086,Source Conditioned Generation | Atomic AI Action Menu | Spatial Canvas | Output Templates | Addressable Segments | Fixed Functional Panel Layout,F2 | F6 | F7,Creativity Support and Ideation | Sensemaking | Control and Agency
5292,"Design and Multi-level Evaluation of MAP-X: a Medically Aligned, Patient-Centered AI Explanation System",pat-036 | pat-051 | pat-055 | pat-074,Overview-plus-Detail | Elements for Process Disclosure | Aggregated Summary Score | Non-Readable to Natural Language Conversion,F6 | F3 | F4 | F5 | F7 | F14,Sensemaking | Judgment and Decision Making | Oversight | Appropriate Reliance | Control and Agency | Accessibility
5293,"Designing Staged Evaluation Workflows for LLMs: Integrating Domain Experts, Lay Users, and Model-Generated Evaluation Criteria",pat-067 | pat-006 | pat-017,User-Authored Rules | Multi-Model Output Comparison | Staged Pipeline,F3 | F22 | F7 | F16,Judgment and Decision Making | Risk of Harm and Accountability | Control and Agency | Coordination and Equitable Participation
5294,Perspectra: Choosing Your Experts Enhances Critical Thinking in Multi-Agent Research Ideation,pat-093 | pat-005 | pat-037 | pat-051 | pat-042,Familiar-Object Metaphor | Branching Exploration | Unit Visualization Views | Elements for Process Disclosure | Persona Assigned to Agents,F2 | F4 | F8 | F19 | F7,Creativity Support and Ideation | Oversight | Metacognition | Effort and Cognitive Load | Control and Agency
5303,Machine Eye: Designing Relational Engagement with Embodied Large Language Models,pat-009 | pat-043 | pat-061,Proactive Support | Embodied Avatar | Tangible Interaction,F4 | F8 | F19 | F11 | F15,Oversight | Metacognition | Effort and Cognitive Load | Social Perception (Mindset) | Spatial and Embodied Cognition
5313,DiLLS: Interactive Diagnosis of LLM-based Multi-agent Systems via Layered Summary of Agent Behaviors,pat-033 | pat-036 | pat-051 | pat-074,Output Templates | Overview-plus-Detail | Elements for Process Disclosure | Non-Readable to Natural Language Conversion,F6 | F4 | F19,Sensemaking | Oversight | Effort and Cognitive Load
5314,AI Personalization Paradox: Reading Highlights for Personalized AI-Assisted Writing Increases Engagement but Undermines Autonomy and Ownership,pat-032 | pat-086,Source Conditioned Generation | Fixed Functional Panel Layout,F6 | F5 | F7 | F17 | F13,Sensemaking | Appropriate Reliance | Control and Agency | Privacy and Ownership | Personalization
5315,VueBuds: Visual Intelligence with Wireless Earbuds,pat-088 | pat-060 | pat-062,AI Panels for Host Application | Multimodal Input | Voice Interaction,F19 | F15,Effort and Cognitive Load | Spatial and Embodied Cognition
5320,Co-Ideation Across Time: Revitalizing Legacy Design Sketchnotes with Conversational AI Agents to Foster Intergenerational Collaboration,pat-039 | pat-040 | pat-042 | pat-057,Spatial Canvas | Sketch-Based Input | Persona Assigned to Agents | Companion Chat Panel,F2 | F6 | F8 | F20 | F21,"Creativity Support and Ideation | Sensemaking | Metacognition | Skill and Self-Efficacy | Affect, Wellbeing and Connection"
5322,Generative Muscle Stimulation: Providing Users with Physical Assistance by Constraining Multimodal-AI with Embodied Knowledge,pat-097 | pat-023 | pat-061 | pat-062 | pat-063,Mid-Run Intervention | Goal Decomposition | Tangible Interaction | Voice Interaction | Multimodal Output,F1 | F22 | F20 | F7 | F15,Gulf of Envisioning | Risk of Harm and Accountability | Skill and Self-Efficacy | Control and Agency | Spatial and Embodied Cognition
5326,SketchDynamics: Exploring Free-Form Sketches for Dynamic Intent Expression in Animation Generation,pat-015 | pat-040 | pat-019 | pat-024 | pat-017,Question-Driven Elicitation | Sketch-Based Input | Propose-Critique-Revise Iterative Refinement | Program-as-Output | Staged Pipeline,F1 | F2 | F3 | F19 | F20 | F12,Gulf of Envisioning | Creativity Support and Ideation | Judgment and Decision Making | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking
5334,"Agent-Supported Foresight for AI Systemic Risks: AI Agents for Breadth, Experts for Judgment",pat-005 | pat-095 | pat-017 | pat-042 | pat-057 | pat-086,Branching Exploration | Manual Fallback Editing | Staged Pipeline | Persona Assigned to Agents | Companion Chat Panel | Fixed Functional Panel Layout,F2 | F6 | F4 | F8 | F22 | F7 | F16,Creativity Support and Ideation | Sensemaking | Oversight | Metacognition | Risk of Harm and Accountability | Control and Agency | Coordination and Equitable Participation
5335,Noise Pilot: Enabling Artistic Workflow Composition with Diffusion-Based Image Generation,pat-034 | pat-039 | pat-038,Artifact Generation Property Controls | Spatial Canvas | Model Internals View,F1 | F2 | F4 | F8 | F19 | F20 | F7,Gulf of Envisioning | Creativity Support and Ideation | Oversight | Metacognition | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
5336,"DOLLama: Fostering Family Anti-Bullying Learning through AI-Augmented, Toy-Mediated Educational Drama",pat-032 | pat-017 | pat-042 | pat-044 | pat-045 | pat-048 | pat-049 | pat-060 | pat-061 | pat-062,Source Conditioned Generation | Staged Pipeline | Persona Assigned to Agents | Role-Play Scenario | Multiparty Hub and Spoke | Simulated Counterparts | Space Registered Overlay | Multimodal Input | Tangible Interaction | Voice Interaction,F8 | F20 | F12 | F17 | F13,Metacognition | Skill and Self-Efficacy | Perspective-Taking | Privacy and Ownership | Personalization
5347,Transformer Explainer: Learning LLM Transformers with Interactive Visual Explanation and Experimentation,pat-034 | pat-036 | pat-038,Artifact Generation Property Controls | Overview-plus-Detail | Model Internals View,F6 | F4 | F19 | F20 | F13,Sensemaking | Oversight | Effort and Cognitive Load | Skill and Self-Efficacy | Personalization
5348,RPGAgent: Driving Coherent Story-to-Play Generation with an LLM-Based Multi-Agent System,pat-033 | pat-024 | pat-017 | pat-020,Output Templates | Program-as-Output | Staged Pipeline | Inspectable Intermediate Steps,F2 | F4 | F19 | F20 | F7 | F12,Creativity Support and Ideation | Oversight | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Perspective-Taking
5352,"ClearFairy: Capturing Creative Workflows through Decision Structuring, In-Situ Questioning, and Rationale Inference",pat-009 | pat-015 | pat-033 | pat-010 | pat-018,Proactive Support | Question-Driven Elicitation | Output Templates | Prefilled Editable Templates | Addressable Segments,F1 | F6 | F8 | F19 | F20 | F7 | F12,Gulf of Envisioning | Sensemaking | Metacognition | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Perspective-Taking
5353,Criticmate: Stagewise Human-AI Co-Critique in Single-Screen UI Evaluation,pat-032 | pat-067 | pat-010 | pat-018 | pat-017 | pat-020 | pat-036 | pat-086,Source Conditioned Generation | User-Authored Rules | Prefilled Editable Templates | Addressable Segments | Staged Pipeline | Inspectable Intermediate Steps | Overview-plus-Detail | Fixed Functional Panel Layout,F9 | F4 | F5 | F19 | F7 | F12,Guidance and Feedback | Oversight | Appropriate Reliance | Effort and Cognitive Load | Control and Agency | Perspective-Taking
5354,Lost in Translation: The Value of Verbalizations in Interpreting 3D Computer-Aided Design Workflows,,,F1 | F9 | F7 | F12,Gulf of Envisioning | Guidance and Feedback | Control and Agency | Perspective-Taking
5355,PaperTrail: A Claim-Evidence Interface for Grounding Provenance in LLM-based Scholarly Q&A,pat-018 | pat-001 | pat-057 | pat-086,Addressable Segments | Linked Views | Companion Chat Panel | Fixed Functional Panel Layout,F3 | F5 | F19,Judgment and Decision Making | Appropriate Reliance | Effort and Cognitive Load
5361,Instructional Mechanisms for Professional Writing: A Comparison of Scaffolded Annotation and ChatGPT,pat-052 | pat-086,Color Coded Content | Fixed Functional Panel Layout,F9 | F8 | F5 | F19 | F20 | F12 | F17,Guidance and Feedback | Metacognition | Appropriate Reliance | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking | Privacy and Ownership
5363,Interface Support for Evaluating Disability Bias in AI-Generated Images,pat-009 | pat-054 | pat-074,Proactive Support | Paired (Human-AI) Assessment | Non-Readable to Natural Language Conversion,F3 | F5 | F18 | F22 | F20 | F7,Judgment and Decision Making | Appropriate Reliance | Bias and Fairness | Risk of Harm and Accountability | Skill and Self-Efficacy | Control and Agency
5378,RageSense: Leveraging Acoustic Sensing and LLM-Based Intervention for Emotion Regulation in Mobile Gaming,pat-009 | pat-011,Proactive Support | Live Activity Output Synchronization,F7 | F17 | F13 | F21,"Control and Agency | Privacy and Ownership | Personalization | Affect, Wellbeing and Connection"
5384,CrossLit: Connecting Visual and Textual Sensemaking for Literature Review,pat-039 | pat-030 | pat-026 | pat-086,Spatial Canvas | Two-Way Sync View | Unified Workspace | Fixed Functional Panel Layout,F2 | F6 | F19 | F7,Creativity Support and Ideation | Sensemaking | Effort and Cognitive Load | Control and Agency
5385,Remembering with Reminiscope: Codesigning with Generative AI for Reminiscence Among Older Adults,pat-032 | pat-045 | pat-061 | pat-062,Source Conditioned Generation | Multiparty Hub and Spoke | Tangible Interaction | Voice Interaction,F1 | F2 | F6 | F17 | F21,"Gulf of Envisioning | Creativity Support and Ideation | Sensemaking | Privacy and Ownership | Affect, Wellbeing and Connection"
5396,When AI Gets It Wrong: Scaffolding AI Hallucination Detection for Children Through Chatbot Creation,pat-006 | pat-051 | pat-042 | pat-045 | pat-086,Multi-Model Output Comparison | Elements for Process Disclosure | Persona Assigned to Agents | Multiparty Hub and Spoke | Fixed Functional Panel Layout,F2 | F3 | F4 | F8 | F5 | F20,Creativity Support and Ideation | Judgment and Decision Making | Oversight | Metacognition | Appropriate Reliance | Skill and Self-Efficacy
5410,"I, Robot? Exploring Ultra-Personalized AI-Powered AAC; an Autoethnographic Account",pat-080,Revisitable History,F19 | F7 | F17 | F21 | F14,"Effort and Cognitive Load | Control and Agency | Privacy and Ownership | Affect, Wellbeing and Connection | Accessibility"
5414,An LLM-Based Motivation-Aware Framework For AI Coaching For Behaviour Change,pat-082 | pat-059 | pat-016 | pat-042 | pat-089,Chunked Interaction Sessions | Inferred User State Driven Adaptation | Structured Dialogue Flow | Persona Assigned to Agents | Chat Panels,F1 | F12 | F13 | F14,Gulf of Envisioning | Perspective-Taking | Personalization | Accessibility
5415,Learning from AVA: Early Lessons from a Curated and Trustworthy Generative AI for Policy and Development Research,pat-001 | pat-051,Linked Views | Elements for Process Disclosure,F6 | F3 | F4 | F5 | F19,Sensemaking | Judgment and Decision Making | Oversight | Appropriate Reliance | Effort and Cognitive Load
5425,Req2CAD: bridging functional requirements and parametric CAD models to support conceptual 3D design,pat-024 | pat-017 | pat-023 | pat-080 | pat-037 | pat-086 | pat-060,Program-as-Output | Staged Pipeline | Goal Decomposition | Revisitable History | Unit Visualization Views | Fixed Functional Panel Layout | Multimodal Input,F1 | F2 | F19 | F20 | F12,Gulf of Envisioning | Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking
5427,Proactive AI as a Catalyst for Creativity? Balancing Human Agency and AI Contribution in Collaborative Story Writing,pat-009 | pat-012 | pat-047 | pat-087,Proactive Support | Live Side Panel | Role Asymmetric Views | Dual Artifact Presentation Modes,F2 | F7 | F17,Creativity Support and Ideation | Control and Agency | Privacy and Ownership
5432,Prototyping Multimodal GenAI Real-Time Agents with Counterfactual Replays and Hybrid Wizard-of-Oz,pat-009 | pat-011 | pat-080 | pat-047 | pat-088 | pat-063,Proactive Support | Live Activity Output Synchronization | Revisitable History | Role Asymmetric Views | AI Panels for Host Application | Multimodal Output,F2 | F9 | F4,Creativity Support and Ideation | Guidance and Feedback | Oversight
5439,Harmonizing the Senses: Designing a Cross-Modal Interactive Art System to Enhance Older Adults' Affective Experiences,pat-011 | pat-040 | pat-061 | pat-063,Live Activity Output Synchronization | Sketch-Based Input | Tangible Interaction | Multimodal Output,F19 | F17 | F13 | F21,"Effort and Cognitive Load | Privacy and Ownership | Personalization | Affect, Wellbeing and Connection"
5441,Can AI be a Social Buffer? Investigating the Effect of AI-assisted Cognitive Reappraisal and Narrative Perspectives on Managing Difficult Workplace Conversations over Email,pat-032 | pat-042,Source Conditioned Generation | Persona Assigned to Agents,F18 | F12 | F21,"Bias and Fairness | Perspective-Taking | Affect, Wellbeing and Connection"
5443,Who You Explain To Matters: Learning by Explaining to Conversational Agents with Different Pedagogical Roles,pat-068 | pat-016 | pat-042 | pat-048 | pat-086,Withheld Answer | Structured Dialogue Flow | Persona Assigned to Agents | Simulated Counterparts | Fixed Functional Panel Layout,F8 | F20 | F13 | F21,"Metacognition | Skill and Self-Efficacy | Personalization | Affect, Wellbeing and Connection"
5445,DiaryPlay: AI-Assisted Creation of Interactive Story Vignettes for Everyday Storytelling,pat-032 | pat-033 | pat-005 | pat-010 | pat-042 | pat-044 | pat-047,Source Conditioned Generation | Output Templates | Branching Exploration | Prefilled Editable Templates | Persona Assigned to Agents | Role-Play Scenario | Role Asymmetric Views,F19 | F20 | F12 | F17 | F13,Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking | Privacy and Ownership | Personalization
5447,"I followed what felt right, not what I was told: Autonomy, Coaching, and Recognizing Bias Through AI-Mediated Dialogue",pat-009 | pat-042 | pat-044 | pat-086 | pat-087,Proactive Support | Persona Assigned to Agents | Role-Play Scenario | Fixed Functional Panel Layout | Dual Artifact Presentation Modes,F9 | F8 | F18 | F7 | F13 | F21,"Guidance and Feedback | Metacognition | Bias and Fairness | Control and Agency | Personalization | Affect, Wellbeing and Connection"
5458,Sensemaking in Multi-Agent LLM Interfaces: How Users Interpret Transparency and Trustworthiness Cues,pat-006 | pat-051 | pat-087,Multi-Model Output Comparison | Elements for Process Disclosure | Dual Artifact Presentation Modes,F4 | F5 | F19,Oversight | Appropriate Reliance | Effort and Cognitive Load
5463,CoNode: Visualizing Workflows for Knowledge Reuse and Recombination in Team-AI Collaborative Design,pat-035 | pat-039 | pat-080 | pat-045 | pat-086,Atomic AI Action Menu | Spatial Canvas | Revisitable History | Multiparty Hub and Spoke | Fixed Functional Panel Layout,F1 | F2 | F6 | F7 | F12 | F16,Gulf of Envisioning | Creativity Support and Ideation | Sensemaking | Control and Agency | Perspective-Taking | Coordination and Equitable Participation
5473,Sensing What Surveys Miss: Understanding and Personalizing Proactive LLM Support by User Modeling,pat-009 | pat-021 | pat-017,Proactive Support | Localized Tweaking Support | Staged Pipeline,F1 | F9 | F5 | F19 | F7,Gulf of Envisioning | Guidance and Feedback | Appropriate Reliance | Effort and Cognitive Load | Control and Agency
5476,Gen-Diaolou: An Integrated AI-Assisted Interactive System for Diachronic Understanding and Preservation of the Kaiping Diaolou,pat-026 | pat-087,Unified Workspace | Dual Artifact Presentation Modes,F2 | F9 | F6 | F22 | F12 | F13,Creativity Support and Ideation | Guidance and Feedback | Sensemaking | Risk of Harm and Accountability | Perspective-Taking | Personalization
5486,Protosampling: Enabling Free-Form Convergence of Sampling and Prototyping through Canvas-Driven Visual AI Generation,pat-032 | pat-041 | pat-080 | pat-026,Source Conditioned Generation | Pick and Combine | Revisitable History | Unified Workspace,F1 | F2 | F7,Gulf of Envisioning | Creativity Support and Ideation | Control and Agency
5488,SoundStager: Interactive Design of Story-Driven GenAI Soundscapes for Video,pat-032 | pat-033 | pat-002 | pat-018 | pat-095 | pat-017 | pat-020 | pat-036 | pat-057 | pat-086,Source Conditioned Generation | Output Templates | Candidate Gallery | Addressable Segments | Manual Fallback Editing | Staged Pipeline | Inspectable Intermediate Steps | Overview-plus-Detail | Companion Chat Panel | Fixed Functional Panel Layout,F1 | F19 | F20 | F7 | F12,Gulf of Envisioning | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Perspective-Taking
5489,ARify: Leveraging Narrated Instructional Videos to Create Augmented Reality Tutorials for Procedural Tasks,pat-033 | pat-010 | pat-017 | pat-020 | pat-049,Output Templates | Prefilled Editable Templates | Staged Pipeline | Inspectable Intermediate Steps | Space Registered Overlay,F19 | F20,Effort and Cognitive Load | Skill and Self-Efficacy
5497,OceanChat: The Effect of Virtual Conversational AI Agents on Sustainable Attitude and Behavior Change,pat-016 | pat-042 | pat-087 | pat-043,Structured Dialogue Flow | Persona Assigned to Agents | Dual Artifact Presentation Modes | Embodied Avatar,F8 | F22 | F12 | F13,Metacognition | Risk of Harm and Accountability | Perspective-Taking | Personalization
5501,Ambiguous Loss: Facilitating Refugee Families' Sense of Home through AI-Powered Storytelling,pat-032 | pat-041 | pat-045,Source Conditioned Generation | Pick and Combine | Multiparty Hub and Spoke,F6 | F17 | F21,"Sensemaking | Privacy and Ownership | Affect, Wellbeing and Connection"
5505,CareerCraft: Supporting New Graduates on Job Hunting with LLM-Assisted Self-Construction of Career Profile,pat-032 | pat-033 | pat-002 | pat-018 | pat-095 | pat-017,Source Conditioned Generation | Output Templates | Candidate Gallery | Addressable Segments | Manual Fallback Editing | Staged Pipeline,F1 | F6 | F3 | F8 | F20 | F17,Gulf of Envisioning | Sensemaking | Judgment and Decision Making | Metacognition | Skill and Self-Efficacy | Privacy and Ownership
5522,MoSound: An Interactive Tool for Generative Sound Design in Motion Graphics,pat-022 | pat-032 | pat-002 | pat-018 | pat-017 | pat-020 | pat-086,Artifact Derived Controls | Source Conditioned Generation | Candidate Gallery | Addressable Segments | Staged Pipeline | Inspectable Intermediate Steps | Fixed Functional Panel Layout,F19 | F20 | F12 | F21,"Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking | Affect, Wellbeing and Connection"
5526,The RepairBot Framework: Touch-Aware Conversational Agent for Hands-on Clothes Repair,pat-016 | pat-042 | pat-062 | pat-063,Structured Dialogue Flow | Persona Assigned to Agents | Voice Interaction | Multimodal Output,F9 | F20 | F13 | F15,Guidance and Feedback | Skill and Self-Efficacy | Personalization | Spatial and Embodied Cognition
5536,AskNow: An LLM-powered Interactive System for Real-Time Question Answering in Large-Scale Classrooms,pat-011 | pat-047,Live Activity Output Synchronization | Role Asymmetric Views,F9 | F6 | F19 | F20 | F16,Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Coordination and Equitable Participation
5552,Gamifying Compassion: Mitigating Dialect Prejudice Through An AI-Driven Serious Game,pat-017 | pat-044,Staged Pipeline | Role-Play Scenario,F18 | F20 | F12 | F21,"Bias and Fairness | Skill and Self-Efficacy | Perspective-Taking | Affect, Wellbeing and Connection"
5554,NarrativeLoom: Enhancing Creative Storytelling through Multi-Persona Collaborative Improvisation,pat-034 | pat-002 | pat-018 | pat-017,Artifact Generation Property Controls | Candidate Gallery | Addressable Segments | Staged Pipeline,F2 | F20 | F7,Creativity Support and Ideation | Skill and Self-Efficacy | Control and Agency
5557,Live in the Loop: Rapid Run-time Feedback for Prompts,pat-012 | pat-090 | pat-002 | pat-020 | pat-088,Live Side Panel | On-Demand Suggestion | Candidate Gallery | Inspectable Intermediate Steps | AI Panels for Host Application,F1 | F2 | F3 | F4 | F5,Gulf of Envisioning | Creativity Support and Ideation | Judgment and Decision Making | Oversight | Appropriate Reliance
5558,PlayWrite: A Multimodal System for AI Supported Narrative Co-Authoring Through Play in XR,pat-039 | pat-018 | pat-025 | pat-043 | pat-060,Spatial Canvas | Addressable Segments | Interpretation Readback | Embodied Avatar | Multimodal Input,F1 | F2 | F17 | F13 | F21 | F15,"Gulf of Envisioning | Creativity Support and Ideation | Privacy and Ownership | Personalization | Affect, Wellbeing and Connection | Spatial and Embodied Cognition"
5559,TwistLens: A Docent-Informed Image Transformation to Create Previews That Prompt Anticipation and Interpretive Experiences Before Museum Visits,pat-033 | pat-068 | pat-004 | pat-086,Output Templates | Withheld Answer | Side-by-Side Comparison | Fixed Functional Panel Layout,F2 | F3 | F19 | F20 | F7 | F13 | F21,"Creativity Support and Ideation | Judgment and Decision Making | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Personalization | Affect, Wellbeing and Connection"
5560,Exploring the Design of a LLM-Based AI Assistant for Mindfulness Practice With Older Adults,pat-015 | pat-033 | pat-017 | pat-042 | pat-062,Question-Driven Elicitation | Output Templates | Staged Pipeline | Persona Assigned to Agents | Voice Interaction,F19 | F20 | F7 | F11 | F13 | F21,"Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Social Perception (Mindset) | Personalization | Affect, Wellbeing and Connection"
5569,Toward Independent Online Shopping of the Visually Impaired Through Voice-based Computer-Using Agent,pat-062 | pat-074,Voice Interaction | Non-Readable to Natural Language Conversion,F3 | F19 | F17 | F21 | F14,"Judgment and Decision Making | Effort and Cognitive Load | Privacy and Ownership | Affect, Wellbeing and Connection | Accessibility"
5572,It Depends: Re-Authoring Play Through Clinical Reasoning in Wearable AR Rehab Games,,,F7 | F13 | F21 | F15,"Control and Agency | Personalization | Affect, Wellbeing and Connection | Spatial and Embodied Cognition"
5574,PrivacyAkinator: Articulating Key Privacy Design Decisions by Answering LLM-Generated Multiple-choice Questions,pat-015 | pat-033 | pat-010 | pat-023 | pat-036 | pat-052,Question-Driven Elicitation | Output Templates | Prefilled Editable Templates | Goal Decomposition | Overview-plus-Detail | Color Coded Content,F1 | F2 | F9 | F6 | F19 | F20,Gulf of Envisioning | Creativity Support and Ideation | Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy
5576,It Seems to Understand My Heart: An Empirical Study of Persona-Driven Persuasive AI Agent for Aging-in-Place in Singapore,pat-059 | pat-016 | pat-042,Inferred User State Driven Adaptation | Structured Dialogue Flow | Persona Assigned to Agents,F20 | F7 | F12 | F11 | F13 | F21,"Skill and Self-Efficacy | Control and Agency | Perspective-Taking | Social Perception (Mindset) | Personalization | Affect, Wellbeing and Connection"
5578,Conversational Inoculation to Enhance Resistance to Misinformation,pat-017 | pat-087 | pat-089,Staged Pipeline | Dual Artifact Presentation Modes | Chat Panels,F3 | F5 | F20,Judgment and Decision Making | Appropriate Reliance | Skill and Self-Efficacy
5579,JustShape: Exploring Co-Speech Gestures for Multimodal LLM-Powered 3D Parametric Modeling,pat-022 | pat-024 | pat-060,Artifact Derived Controls | Program-as-Output | Multimodal Input,F1 | F19 | F20 | F15,Gulf of Envisioning | Effort and Cognitive Load | Skill and Self-Efficacy | Spatial and Embodied Cognition
5580,GeoVisA11y: An AI-based Geovisualization Question-Answering System for Screen-Reader Users,pat-001 | pat-057 | pat-086 | pat-064 | pat-074,Linked Views | Companion Chat Panel | Fixed Functional Panel Layout | Nonvisual Navigation | Non-Readable to Natural Language Conversion,F6 | F3 | F14 | F15,Sensemaking | Judgment and Decision Making | Accessibility | Spatial and Embodied Cognition
5582,PCGEF: A Framework for Diagnosing Subjective Alignment in Human-Centered Persona-Conditioned Generation,pat-033 | pat-006 | pat-007 | pat-017 | pat-042,Output Templates | Multi-Model Output Comparison | Perturb-and-Compare | Staged Pipeline | Persona Assigned to Agents,F3 | F4 | F7 | F12,Judgment and Decision Making | Oversight | Control and Agency | Perspective-Taking
5589,Lexara: A User-Centered Toolkit for Evaluating Large Language Models for Conversational Visual Analytics,pat-006 | pat-036,Multi-Model Output Comparison | Overview-plus-Detail,F3 | F4 | F20,Judgment and Decision Making | Oversight | Skill and Self-Efficacy
5599,Towards Designing for Resilience: Community-Centered Deployment of an AI Business Planning Tool in a Pittsburgh Small Business Center,pat-032 | pat-021 | pat-095 | pat-017 | pat-057 | pat-060,Source Conditioned Generation | Localized Tweaking Support | Manual Fallback Editing | Staged Pipeline | Companion Chat Panel | Multimodal Input,F1 | F6 | F8 | F19 | F20 | F21 | F14,"Gulf of Envisioning | Sensemaking | Metacognition | Effort and Cognitive Load | Skill and Self-Efficacy | Affect, Wellbeing and Connection | Accessibility"
5601,Helping Me Versus Doing It for Me: Designing for Agency in LLM-Infused Writing Tools for Science Journalism,pat-009 | pat-022 | pat-032 | pat-034 | pat-010 | pat-096 | pat-089,Proactive Support | Artifact Derived Controls | Source Conditioned Generation | Artifact Generation Property Controls | Prefilled Editable Templates | Accept/Reject Controls | Chat Panels,F19 | F20 | F7 | F17,Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Privacy and Ownership
5603,Exploring Learners' Expectations and Engagement When Collaborating with Constructively Controversial Peer Agents,pat-051 | pat-042 | pat-048 | pat-086,Elements for Process Disclosure | Persona Assigned to Agents | Simulated Counterparts | Fixed Functional Panel Layout,F8 | F20 | F7 | F11 | F13,Metacognition | Skill and Self-Efficacy | Control and Agency | Social Perception (Mindset) | Personalization
5619,ScamPilot: Simulating Conversations with LLMs to Protect Against Online Scams,pat-068 | pat-017 | pat-042 | pat-044 | pat-045 | pat-086,Withheld Answer | Staged Pipeline | Persona Assigned to Agents | Role-Play Scenario | Multiparty Hub and Spoke | Fixed Functional Panel Layout,F3 | F8 | F20 | F13 | F21,"Judgment and Decision Making | Metacognition | Skill and Self-Efficacy | Personalization | Affect, Wellbeing and Connection"
5624,Bondi: Designing Tangible and Multimodal Interfaces for Continuing Bonds in Pet Bereavement,pat-032 | pat-061,Source Conditioned Generation | Tangible Interaction,F6 | F21,"Sensemaking | Affect, Wellbeing and Connection"
5627,When Should Users Check? Modeling Confirmation Frequency in Multi-Step Agentic AI Tasks,pat-009 | pat-097 | pat-023 | pat-080 | pat-028,Proactive Support | Mid-Run Intervention | Goal Decomposition | Revisitable History | Plan Preview,F3 | F19 | F7,Judgment and Decision Making | Effort and Cognitive Load | Control and Agency
5628,Branching Foresight - A Novel Interaction Concept for AI-generated Scenario Exploration,pat-015 | pat-002 | pat-005 | pat-017 | pat-057 | pat-063,Question-Driven Elicitation | Candidate Gallery | Branching Exploration | Staged Pipeline | Companion Chat Panel | Multimodal Output,F2 | F6 | F8 | F21,"Creativity Support and Ideation | Sensemaking | Metacognition | Affect, Wellbeing and Connection"
5632,Notational Animating: An Interactive Approach to Creating and Editing Animation Keyframes,pat-022 | pat-040 | pat-033 | pat-019 | pat-080 | pat-025,Artifact Derived Controls | Sketch-Based Input | Output Templates | Propose-Critique-Revise Iterative Refinement | Revisitable History | Interpretation Readback,F1 | F2 | F19 | F7 | F12,Gulf of Envisioning | Creativity Support and Ideation | Effort and Cognitive Load | Control and Agency | Perspective-Taking
5634,Reimagining Legal Fact Verification with GenAI: Toward Effective Human-AI Collaboration,,,F6 | F3 | F5 | F22 | F7 | F17,Sensemaking | Judgment and Decision Making | Appropriate Reliance | Risk of Harm and Accountability | Control and Agency | Privacy and Ownership
5647,Say It My Way: Exploring Control in Conversational Visual Question Answering with Blind Users,,,F3 | F19 | F7 | F14,Judgment and Decision Making | Effort and Cognitive Load | Control and Agency | Accessibility
