category_code,category_name,category_origin,runner_up_code,human_factor,n_papers,n_central,n_venue_families,definition,framing
F17,Privacy and ownership,given,F7,ownership and authorship,40,20,7,"Whether a person regards a result as theirs — as something they made and deserve credit for — when an intermediary did part of the making. Papers claim their designs engage this felt authorship and the credit that attaches to it. The question is attribution and possession of the result, not how much of the process the person directed.","BOTH — the corpus names declines in ownership and self-credit as harms, and a strengthened sense of authorship or directorial agency as a capacity designs engage."
F17,Privacy and ownership,given,F13,self-representation and identity,36,18,7,"A person must assemble and put forward an account of who they are for others to read, and doing so is a construction task distinct from having the qualities being presented. The factor is that work of building and expressing a professional or personal identity to an audience. It concerns the presented self, whatever the medium in which it is presented.",CAPACITY
F17,Privacy and ownership,given,F2,preservation of the person's own voice and expression,35,29,7,"A person's distinctive style, intention, or way of speaking can be flattened or suppressed when an intermediary reshapes what they produce. Papers claim their designs engage the survival of that individual character through the intermediary's involvement. What is at stake is the particularity of this person's expression, not who is credited for the result.","DEFICIT/HARM — the corpus states this as loss: intention and voice only partially captured, personal characteristics displaced by generic output, self-censorship, and cultural norms locked in place by filtering."
F17,Privacy and ownership,given,F14,social acceptability in public,12,5,4,"An action that works perfectly well in private becomes costly when bystanders can see or hear it, and the person declines to perform it rather than be seen doing so. The factor is this social cost of visible or audible interaction in the presence of others, and the resulting unavailability of otherwise workable ways of acting. It concerns how the person is perceived by others nearby, not what the others learn.",DEFICIT/HARM
F17,Privacy and ownership,given,F18,originality and appropriation of existing work,8,1,4,"What a person produces with help may reproduce someone else's work or manner without their knowing it, exposing them to a charge they did not intend to incur. The factor is the person's exposure to and concern about unoriginality — recreating prior art, taking on another's style, or plagiarism — as a property of the work they will put their name to. It concerns the relation between the person's output and other people's existing work.",DEFICIT/HARM
F18,Bias and fairness,given,F8,"awareness of bias, one's own and encoded",76,42,11,"Skew that is present but unnoticed — in the person's own assumptions, in the norms carried by the material they work with, or in the outputs they accept — and the difficulty of bringing it into view. Papers claim their designs engage noticing, prioritising, and reasoning about such skew. The factor is the person's awareness, not the existence of the skew.","BOTH — the corpus states blind spots and overlooked biases as deficits, and recognition of bias, awareness of encoded norms, and fair representation as capacities the design engages."
N1,"Effort, cognitive load and attention",proposed,F3,effort and time burden,452,247,11,"The labour a task costs a person, counted in time, repetition, tedium, or fatigue. The claim is that a person must expend more of themselves on the task than the task is worth, or that the expenditure is misallocated toward overhead. It is about the quantity of work demanded, not about how hard that work is to think through.","DEFICIT/HARM. Consistently a burden to be reduced, shifted, or reallocated — ""time-consuming and tedious"", ""burdensome"", ""survey fatigue"", ""administrative overhead""."
N1,"Effort, cognitive load and attention",proposed,F6,cognitive load,336,190,10,"The mental processing a task demands of a person at once — holding material in mind, integrating scattered pieces, or working through more information than can be handled. Papers claim this demand degrades the quality of what people do or crowds out the judgment they should be spending attention on. It is about processing demand, not about elapsed time or missing training.","DEFICIT/HARM. Uniformly stated as load to be lowered, overload to be relieved, or burden that degrades response quality."
N1,"Effort, cognitive load and attention",proposed,F7,efficiency and task performance,324,137,11,"How fast and how well the work gets done — throughput, speed of producing an artifact, and measured quality of performance on the task. The factor covers both units to which that outcome is attributed: the individual person's own speed and quality at their own task, and the joint result produced by a person and a system working together where the paper treats the outcome as a property of the pairing rather than of either party alone. Both readings are coded here, and which one is at issue is read off the paper's own attribution; the joint reading additionally requires a claim about the pairing, such as that neither the person's skill nor the system's standalone accuracy predicts the joint outcome. Papers claim their designs engage this as the headline human dimension, stated in terms of the process being sped up or the performance being better. The factor is the observable performance of the work, not the person's felt exertion in doing it.","CAPACITY — the corpus states this as a gain to be had (efficiency, speed, versatility, human performance), with slowness framed as the limitation of existing tooling."
N1,"Effort, cognitive load and attention",proposed,F14,usability and intuitiveness,221,58,11,"What it costs the person to work the thing: how much effort goes into figuring out what to do, how fluently the action they intend becomes the action the system takes, and how satisfied they are with the doing of it. The factor is the person's experience of operating an instrument — the same difficulty anyone has driving an unfamiliar machine — and it transplants to any operable artifact, with or without a model behind it. It is coded only from claims about what the person experienced or reported; a designer's assertion that the interface is simple is not evidence for it, and neither is any property attributed to the artifact rather than to the person using it.",BOTH
N1,"Effort, cognitive load and attention",proposed,F7,"attention, distraction and vigilance",91,35,9,"A finite attentional resource has to be directed at what matters and sustained there, across competing demands and against declining alertness. Papers claim their designs engage the allocation of attention, the drift away from the target, and the alertness the person can hold over time. The concern is the person's ongoing attentional state, whatever is competing for it.","BOTH — the corpus states distraction, divided attention, and fatigue-impaired alertness as deficits, and attentiveness to content and low attentional demand as properties to be raised or protected."
N2,"Skill, expertise and self-efficacy",proposed,F14,skill and expertise barrier,385,210,11,"The claim that a task demands training, proficiency, or specialist judgment that the intended person does not have, so the task is closed to them or done worse. It covers steep learning curves, tools built for specialists, and stated gaps between novices and experts. The person's competence, not the interface's clarity, is what the paper says is missing.","DEFICIT/HARM. Stated as a lack, a steep curve, an exclusion, or a gap between novice and expert performance."
N2,"Skill, expertise and self-efficacy",proposed,F8,learning and skill acquisition,342,243,9,"The person's acquisition of knowledge, skill, or practice that they carry away from the interaction. Papers claim designs engage this by giving examples, feedback, simulated practice, or exposure to how others do the task, and some claim it as something a design must be careful not to supplant. What distinguishes it is that the person is meant to end up more capable, not merely to have finished the task.","CAPACITY. Stated as learning gains, learning outcomes, learning strategies, or learning to be protected from short-circuiting."
N2,"Skill, expertise and self-efficacy",proposed,F8,self-efficacy and confidence,114,48,9,"The person's belief in their own ability to do the thing, and their confidence in the judgments they reach. Papers frame the deficit as a felt sense of failure or low perceived competence that keeps people from attempting or persisting, and the capacity as confidence to approach a task or to commit to a decision. It is a belief about oneself, not about a system.","BOTH. Deficit framings (sense of failure, low self-efficacy, low perceived competence as a demotivating factor) sit alongside capacity framings (confidence to approach, updating one's own judgment with higher confidence)."
N3,Emotional state and wellbeing,proposed,F13,enjoyment and emotional impact,101,29,8,"The felt quality of the experience for the person — whether it lands as enjoyable, moving, visceral, or by contrast as flat and desensitized. Papers claim the design engages the affective register of the encounter itself, not the person's task outcome. It transplants to any artifact whose worth is stated partly in how it feels to receive it.",CAPACITY
N3,Emotional state and wellbeing,proposed,F11,emotional burden and distress,82,27,6,"The affective cost a person bears from being exposed to, or having to engage with, emotionally heavy material or events. Papers frame this as distress, overwhelm, frustration, vulnerability, or emotional harm that accumulates on the person and can drive them out of the activity. It transplants to any setting where sustained emotional exposure is part of the work or the encounter.",DEFICIT/HARM
N3,Emotional state and wellbeing,proposed,F11,stress and coping,60,36,7,"The person is under a stressor they experience as taxing, and the factor covers both the felt stress itself and their capacity to appraise and cope with it. Papers claim to engage the stressor, the appraisal, the coping response, or the person's sense of control over a situation they cannot structurally change. Transplants to any setting where a person must carry on under demand they did not choose.",BOTH
N4,Risk of harm and accountability,proposed,F3,exposure to harm from acting on generated output,65,21,9,"The person stands to be hurt, or to hurt something they care about, if they act on what the system produced. Papers frame the human dimension as the exposure the person carries and must guard against — physical breakage, psychological injury, an unacceptable output reaching a vulnerable recipient. It transplants to any setting where acting on an automated suggestion has consequences the person cannot undo.",DEFICIT/HARM
N4,Risk of harm and accountability,proposed,F8,unawareness of a harm until too late,34,24,4,"A consequence of the person's own activity is invisible or unfamiliar at the moment of acting, so it cannot enter their decision until after the fact. Papers frame the target as raising awareness of a harm, cost, or risk the population is said not to know about. It transplants to any setting where the effect of an action is displaced in time, scale, or visibility from the action itself.",DEFICIT/HARM
N4,Risk of harm and accountability,proposed,F3,human error and physical safety,22,10,7,"People make mistakes and lapse in attention while acting, and in some settings a mistake injures someone or breaks something. The factor is the person's own error-proneness and the bodily or operational consequence attached to it. It transplants to any activity where a slip by the person has a cost beyond needing to redo the step.",DEFICIT/HARM
N4,Risk of harm and accountability,proposed,N1,accountability burden of demonstrating compliance,14,9,4,"Beyond doing the work, a person must produce an artifact whose function is to prove to a supervising party that the work was done to requirement. The factor is that second, documentary obligation and the labour it adds — an artifact shaped by an auditor's demands rather than by the task's own needs. It concerns answering to an authority, not the difficulty of the underlying task.",DEFICIT/HARM
N5,Everyday independence,proposed,F14,independence and quality of life in daily living,53,22,8,"A person's ability to carry out the ordinary activities of their own life without depending on another person, and the standard of living that follows from it. Papers frame the target as relief from repeated manual effort in everyday tasks or as quality-of-life gains in daily and leisure activity. It transplants to any setting where the stake is a person conducting their own life rather than completing an assigned task.",CAPACITY
